name,population,area,latitude,longitude
Barrie,141434,76990000.0,44.39,-79.686
Belleville,49454,,44.166666666667,-77.383333333333
Brampton,523911,,43.683333333333,-79.766666666667
County of Brant,,,43.116666666667,-80.366666666667
Brantford,97496,,43.166666666667,-80.25
Brockville,,,44.583333333333,-75.683333333333
Burlington,175779,185660000.0,43.325,-79.8
Cambridge,126748,,43.358333333333,-80.313888888889
Clarence-Rockland,,,45.483333333333,-75.2
Cornwall,46340,,45.0275,-74.74
"Dryden, Ontario",,,49.783333333333,-92.833333333333
Elliot Lake,,,46.383333333333,-82.65
Greater Sudbury,161531,3200560000.0,46.49,-81.01
Guelph,131794,,43.55,-80.25
Haldimand County,,,42.9333,-79.8833
Hamilton,519949,1138110000.0,43.25,-79.866666666667
Kawartha Lakes,,,44.35,-78.75
Kenora,15348,,49.766666666667,-94.483333333333
Kingston,,,44.233333333333,-76.5
Kitchener,219153,136890000.0,43.45,-80.483333333333
London,366151,,42.9837,-81.2497
Markham,301709,212580000.0,43.8833,-79.25
Mississauga,713443,292400000.0,43.6,-79.65
Niagara Falls,82997,,43.116666666667,-79.066666666667
Norfolk County,,,42.85,-80.2667
North Bay,51553,,46.3,-79.45
Orillia,30586,,44.6,-79.416666666667
Oshawa,,,43.9,-78.85
Ottawa,883391,2778798243.0,45.416666666667,-75.7
Owen Sound,,,44.566666666667,-80.933333333333
Pembroke,,,45.8167,-77.1167
Peterborough,,,44.3,-78.316666666667
Pickering,,,43.8354,-79.089
Port Colborne,,,42.883333333333,-79.25
Prince Edward County,,,44,-77.25
Quinte West,43086,494000000.0,44.183333333333,-77.566666666667
Sarnia,,,42.9994,-82.3089
Sault Ste. Marie,75141,715000000.0,46.5333,-84.35
St. Catharines,,97000000.0,43.183333333333,-79.233333333333
St. Thomas,,,42.775,-81.183333333333
Stratford,31465,,43.366666666667,-80.966666666667
Temiskaming Shores,,,47.516666666667,-79.683333333333
Thorold,,83000000.0,43.116666666667,-79.2
Thunder Bay,108359,447500000.0,48.3822,-89.2461
Timmins,41788,,48.466666666667,-81.333333333333
Toronto,2731571,630000000.0,43.7,-79.4
Vaughan,288301,,43.833333333333,-79.5
Waterloo,98780,,43.466666666667,-80.516666666667
Welland,50631,,42.983333333333,-79.233333333333
Windsor,210891,,42.318333,-83.034722
Woodstock,,,43.130555555556,-80.746666666667
Charlottetown,,,46.233611,-63.128333
Summerside,,28000000.0,46.4,-63.783333333333
Acton Vale,7656,,45.65,-72.5667
Alma,30776,,48.55,-71.65
Amos,12823,427000000.0,48.566666666667,-78.116666666667
Amqui,6178,,48.4667,-67.4333
Asbestos,6786,,45.7667,-71.9333
Baie-Comeau,22113,,49.216666666667,-68.15
Baie-D'Urfé,3850,,45.416666666667,-73.916666666667
Baie-Saint-Paul,7146,,47.45,-70.5
Barkmere,58,,46,-74.583333333333
Beaconsfield,19505,,45.433333333333,-73.866666666667
Beauceville,6281,,46.2,-70.7833
Beauharnois,12011,,45.316666666667,-73.866666666667
Beaupré,3752,,47.05,-70.9
Bécancour,13031,,46.3333,-72.4333
Belleterre,313,551000000.0,47.3833,-78.7
Beloeil,22458,,45.5667,-73.2
Berthierville,4189,6000000.0,46.0833,-73.1833
Blainville,56863,,45.666666666667,-73.883333333333
Boisbriand,26884,,45.6167,-73.8333
Bois-des-Filion,9636,,45.666666666667,-73.75
Bonaventure,2706,,48.05,-65.4833
Boucherville,41671,,45.6,-73.45
Brome Lake,5495,,45.2167,-72.5167
Bromont,9041,,45.3167,-72.65
Brossard,85721,,45.4667,-73.45
Brownsburg-Chatham,7122,,45.6833,-74.4167
Candiac,21047,,45.383333333333,-73.516666666667
Cap-Chat,2476,,49.1,-66.6833
Cap-Santé,3400,,46.666666666667,-71.783333333333
Carignan,9462,,45.45,-73.3
Carleton-sur-Mer,4073,,48.1,-66.133333333333
Chambly,25571,,45.45,-73.2833
Chandler,7546,,48.35,-64.6833
Chapais,1499,,49.7833,-74.85
Charlemagne,5913,2000000.0,45.716666666667,-73.483333333333
Châteauguay,45904,,45.383333333333,-73.75
Château-Richer,4126,,46.966666666667,-71.016666666667
Clermont,3118,,47.6833,-70.2333
Cookshire-Eaton,5171,,45.416666666667,-71.633333333333
Coteau-du-Lac,6842,,45.3,-74.1833
Cowansville,13656,,45.2,-72.75
Danville,3826,,45.7833,-72.0167
Delson,7457,,45.366666666667,-73.55
Desbiens,1028,,48.4167,-71.95
Deux-Montagnes,17496,,45.533333333333,-73.883333333333
Dolbeau-Mistassini,14250,,48.8833,-72.2333
Dollard-des-Ormeaux,49637,,45.483333333333,-73.816666666667
Donnacona,7200,,46.666666666667,-71.75
Dorval,18208,,45.45,-73.75
Drummondville,75423,,45.883333333333,-72.483333333333
Dunham,3432,,45.1333,-72.8
Duparquet,666,123000000.0,48.5,-79.2333
East Angus,3741,,45.4833,-71.6667
Estérel,196,,46.05,-74.0167
Farnham,8909,,45.2833,-72.9833
Forestville,3081,,48.7333,-69.0833
Fossambault-sur-le-Lac,1960,,46.8667,-71.6167
Gaspé,15163,,48.831044,-64.484439
Gatineau,276245,342000000.0,45.483333,-75.65
Gracefield,2462,,46.1,-76.05
Granby,63433,,45.4,-72.733333333333
Grande-Rivière,3408,,48.4,-64.5
Hampstead,6973,,45.4833,-73.6333
Hudson,5135,,45.45,-74.15
Huntingdon,2457,,45.0833,-74.1667
Joliette,20484,22000000.0,46.016666666667,-73.45
Kingsey Falls,1947,,45.85,-72.0667
Kirkland,21253,,45.45,-73.866666666667
La Malbaie,8271,,47.65,-70.15
La Pocatière,4120,,47.3667,-70.0333
La Prairie,24110,,45.416666666667,-73.5
La Sarre,7282,148000000.0,48.8,-79
La Tuque,11001,,47.433333333333,-72.783333333333
Lac-Delage,638,,46.9667,-71.4
Lachute,12862,,45.65,-74.333333333333
Lac-Mégantic,5654,25000000.0,45.583333333333,-70.883333333333
Lac-Saint-Joseph,260,,46.9167,-71.65
Lac-Sergent,497,,46.85,-71.7333
L'Ancienne-Lorette,16543,,46.8,-71.35
L'Assomption,22429,98000000.0,45.8333,-73.4167
Laval,401553,,45.5833,-73.75
Lavaltrie,13657,68000000.0,45.8833,-73.2833
Léry,2318,,45.35,-73.8
Lévis,143414,,46.8,-71.1833
L'Île-Cadieux,105,,45.4333,-74.0167
L'Île-Dorval,5,,45.432222222222,-73.741388888889
L'Île-Perrot,10503,,45.3833,-73.95
Longueuil,231409,,45.5333,-73.5167
Lorraine,9352,,45.6833,-73.7833
Louiseville,7152,,46.25,-72.95
Macamic,2751,202000000.0,48.75,-79
Magog,25692,,45.266666666667,-72.15
Malartic,3377,148000000.0,48.1333,-78.1333
Maniwaki,3853,,46.375,-75.9667
Marieville,10725,,45.4333,-73.1667
Mascouche,46692,107000000.0,45.75,-73.6
Matagami,1453,,49.75,-77.6333
Matane,14462,,48.85,-67.533055555556
Mercier,13115,,45.316666666667,-73.75
Métabetchouan–Lac-à-la-Croix,3985,,48.4333,-71.8667
Métis-sur-Mer,587,,48.666666666667,-68
Mirabel,41957,,45.65,-74.0833
Mont-Joli,6281,,48.583333333333,-68.183333333333
Mont-Laurier,14116,,46.55,-75.5
Montmagny,11491,,46.983333333333,-70.55
Montreal,1704694,498000000.0,45.508056,-73.555
Montreal West,5050,,45.4536,-73.6472
Montréal-Est,3850,,45.633333333333,-73.516666666667
Mont-Saint-Hilaire,18585,,45.5667,-73.2
Mont-Tremblant,9646,,46.1167,-74.6
Mount Royal,20276,,45.516111111111,-73.643055555556
Murdochville,651,,48.9667,-65.5
Neuville,4392,,46.7,-71.583333333333
New Richmond,3706,,48.1667,-65.8667
Nicolet,8169,,46.2167,-72.6167
Normandin,3033,,48.8333,-72.5333
Notre-Dame-des-Prairies,9273,18000000.0,46.05,-73.4333
Otterburn Park,8421,,45.5333,-73.2167
Paspébiac,3164,,48.0333,-65.25
Percé,3312,,48.533333333333,-64.216666666667
Pincourt,14305,,45.383333333333,-73.983333333333
Plessisville,6551,,46.2167,-71.7833
Pohénégamook,2582,,47.46666718,-69.21666718
Pointe-Claire,30790,,45.45,-73.816666666667
Pont-Rouge,9240,,46.75,-71.7
Port-Cartier,6799,,50.0333,-66.8667
Portneuf,3187,,46.7,-71.8833
Prévost,13002,,45.86666667,-74.08333333
Princeville,6001,,46.1667,-71.8833
Quebec City,531902,484100000.0,46.816111,-71.224167
Repentigny,84285,61000000.0,45.733333333333,-73.466666666667
Richelieu,5236,,45.45,-73.25
Richmond,3275,,45.6667,-72.15
Rimouski,49197,529500000.0,48.45,-68.533333333333
Rivière-du-Loup,19447,,47.8333,-69.5333
Rivière-Rouge,4322,,46.4167,-74.8667
Roberval,10046,,48.516666666667,-72.233333333333
Rosemère,13958,,45.633333333333,-73.8
Rouyn-Noranda,42334,6009000000.0,48.2333,-79.0167
Saguenay,145949,1136000000.0,48.4167,-71.0667
Saint-Augustin-de-Desmaures,18820,,46.743,-71.4595
Saint-Basile,2631,,46.75,-71.8167
Saint-Basile-le-Grand,17059,,45.5333,-73.2833
Saint-Bruno-de-Montarville,26394,,45.533333333333,-73.35
Saint-Césaire,5877,,45.4167,-73
Saint-Colomban,16019,,45.7333,-74.1333
Saint-Constant,27359,,45.366666666667,-73.566666666667
Sainte-Adèle,12919,,45.95,-74.1333
Sainte-Agathe-des-Monts,10223,,46.05,-74.283333333333
Sainte-Anne-de-Beaupré,2880,,47.016666666667,-70.933333333333
Sainte-Anne-de-Bellevue,5073,,45.4039,-73.9525
Sainte-Anne-des-Monts,6437,,49.1333,-66.5
Sainte-Anne-des-Plaines,14421,,45.7667,-73.8167
Sainte-Catherine,17047,,45.4,-73.583333333333
Sainte-Catherine-de-la-Jacques-Cartier,7706,,46.85,-71.6167
Sainte-Julie,29881,,45.583333333333,-73.333333333333
Sainte-Marguerite-du-Lac-Masson,2763,,46.0333,-74.05
Sainte-Marie,13565,,46.45,-71.033333333333
Sainte-Marthe-sur-le-Lac,18074,,45.5333,-73.9333
Sainte-Thérèse,25989,,45.633333333333,-73.85
Saint-Eustache,44008,,45.566666666667,-73.9
Saint-Félicien,10238,,48.65,-72.45
Saint-Gabriel,2640,2000000.0,46.3,-73.3833
Saint-Georges,32513,,46.116666666667,-70.666666666667
Saint-Hyacinthe,53236,,45.616666666667,-72.95
Saint-Jérôme,68456,,45.783333333333,-74
Saint-Lambert,21555,,45.5,-73.5167
Saint-Lazare,19295,,45.4,-74.1333
Saint-Marc-des-Carrières,2911,,46.6833,-72.05
Saint-Ours,1669,,45.8833,-73.15
Saint-Pamphile,2400,,46.9667,-69.7833
Saint-Pascal,3468,,47.5333,-69.8
Saint-Pie,5607,,45.5,-72.9
Saint-Raymond,10221,,46.9,-71.8333
Saint-Rémi,8061,,45.2667,-73.6167
Saint-Sauveur,10231,,45.9,-74.1667
Saint-Tite,3673,,46.7333,-72.5667
Salaberry-de-Valleyfield,40077,,45.25,-74.133333333333
Scotstown,472,,45.533333333333,-71.283333333333
Senneterre,2868,14889000000.0,48.3833,-77.2333
Sept-Îles,25686,2140000000.0,50.2167,-66.3833
Shawinigan,49349,,46.5667,-72.75
Sherbrooke,161323,,45.4,-71.9
Sorel‐Tracy,34600,,46.0333,-73.1167
Stanstead,2857,,45.016666666667,-72.1
Sutton,4012,,45.1,-72.6167
Terrebonne,111575,154000000.0,45.7,-73.633333333333
Thetford Mines,25709,,46.1,-71.3
Thurso,2818,,45.6,-75.25
Trois-Pistoles,3246,,48.116666666667,-69.183333333333
Trois‐Rivières,134413,,46.35,-72.55
Valcourt,2349,,45.5,-72.3167
Val-d'Or,32491,3541000000.0,48.1,-77.7833
Varennes,21257,,45.6833,-73.4333
Vaudreuil-Dorion,33305,,45.4,-74.033333333333
Victoriaville,46130,,46.05,-71.966666666667
Ville-Marie,2584,,47.3333,-79.4333
Warwick,4635,,45.95,-71.9833
Waterloo,4410,,45.35,-72.516666666667
Waterville,2028,,45.2667,-71.9
Westmount,20312,,45.481388888889,-73.600555555556
Windsor,5419,,45.5667,-72
Estevan,,,49.1392,-102.986
Flin Flon,5592,,54.768055555556,-101.86416666667
Humboldt,5678,,52.2019,-105.123
Lloydminster,,,53.278333333333,-110.005
Martensville,7716,6000000.0,52.2897,-106.667
Meadow Lake,,,54.124166666667,-108.43583333333
Melfort,,,52.856388888889,-104.61
Melville,,,50.9306,-102.808
Moose Jaw,33274,,50.393333333333,-105.55194444444
North Battleford,13888,,52.7575,-108.28611111111
Prince Albert,35,,53.2,-105.75
Regina,193100,145557331.0,50.454722222222,-104.60666666667
Saskatoon,222189,170800000.0,52.133333333333,-106.68333333333
Swift Current,15503,,50.288055555556,-107.79388888889
Warman,,,52.3219,-106.584
Weyburn,,,49.661111111111,-103.8525
Yorkton,16343,,51.213888888889,-102.46277777778
Whitehorse,23276,416540000.0,60.717222222222,-135.05583333333
New York City,8550406,1214000000.0,40.67,-73.94
Los Angeles,319198,1302764019.0,34.05,-118.25
Chicago,2722389,606057217.0,41.9,-87.65
Houston,2195914,1625000000.0,29.762777777778,-95.383055555556
Phoenix,1469471,1341480000.0,33.528333333333,-112.07638888889
Philadelphia,1560297,366742316.0,39.953055555556,-75.163333333333
San Antonio,1436697,1205000000.0,29.428611111111,-98.493333333333
San Diego,1394928,964511572.0,32.715,-117.1625
Dallas,1197816,999000000.0,32.7825,-96.7975
San Jose,1000536,466120160.0,37.304166666667,-121.87277777778
Austin,912791,703958768.0,30.3,-97.733333333333
Jacksonville,821784,2265203601.0,30.316666666667,-81.65
San Francisco,852469,121000000.0,37.766667,-122.433333
Columbus,787033,577852247.0,39.983333333333,-82.983333333333
Indianapolis,853173,963500000.0,39.767777777778,-86.158055555556
Fort Worth,812238,904423848.0,32.757222222222,-97.333055555556
Charlotte,731424,771039460.0,35.226944444444,-80.843333333333
Seattle,608660,369000000.0,47.6,-122.31666666667
Denver,682545,401448157.0,39.739166666667,-104.98472222222
El Paso,649133,663700000.0,31.790277777778,-106.42333333333
"Washington, D.C.",672228,259000000.0,38.895,-77.036666666667
Boston,655884,232140634.0,42.357777777778,-71.061666666667
Detroit,680250,370000000.0,42.331666666667,-83.0475
Nashville,668347,1367250000.0,36.165,-86.783888888889
Memphis,646889,839200000.0,35.1175,-89.971111111111
Portland,583776,376000000.0,45.516666666667,-122.66666666667
Oklahoma City,579999,1606673224.0,35.4823,-97.5352
Las Vegas,583756,351720385.0,36.175,-115.13638888889
Louisville,760026,1033405256.0,38.254166666667,-85.760277777778
Baltimore,621849,238537904.0,39.286388888889,-76.615
Milwaukee,600155,248638857.60000002,43.05,-87.95
Albuquerque,545852,490900000.0,35.116666666667,-106.61666666667
Tucson,520116,611800000.0,32.221666666667,-110.92638888889
Fresno,494665,290877000.0,36.781666666667,-119.79222222222
Sacramento,485199,259273000.0,38.575277777778,-121.48611111111
Mesa,439041,344805117.0,33.415,-111.83138888889
Kansas City,459787,826284000.0,39.05,-94.583333333333
Atlanta,447841,347100000.0,33.756944444444,-84.390277777778
Long Beach,462257,133223000.0,33.768321,-118.1956168
Colorado Springs,416427,504800000.0,38.863333333333,-104.79194444444
Raleigh,439896,375030278.0,35.818888888889,-78.644722222222
Miami,417650,143148642.0,25.783333333333,-80.216666666667
Omaha,408958,338201000.0,41.266666666667,-96.016666666667
Oakland,422856,202024252.0,37.8,-122.25
Minneapolis,400070,151300000.0,44.980277777778,-93.264166666667
Tulsa,391906,484000000.0,36.131388888889,-95.937222222222
Arlington,365438,258221814.0,32.705033,-97.122839
New Orleans,384320,906495838.0,29.966666666667,-90.05
Wichita,382368,423700000.0,37.688888888889,-97.336111111111
Cleveland,396815,213600000.0,41.482222222222,-81.669722222222
Tampa,347645,441900000.0,27.970833333333,-82.464722222222
Bakersfield,347483,371946000.0,35.405833333333,-119.01861111111
Aurora,325078,402600000.0,39.695833333333,-104.80805555556
Honolulu,390738,177200000.0,21.308888888889,-157.82611111111
Anaheim,336265,131600000.0,33.836111111111,-117.88972222222
Santa Ana,324528,71271292.0,33.740833333333,-117.88138888889
Corpus Christi,316381,1192000000.0,27.742777777778,-97.401944444444
Riverside,303871,255440000.0,33.948063888889,-117.39612777778
Lexington,295803,739441605.0,38.029722222222,-84.494722222222
St. Louis,315685,170939215.0,38.616666666667,-90.2
Stockton,290409,167709500.0,37.975555555556,-121.30083333333
Pittsburgh,305841,150996306.0,40.45,-80
Cincinnati,296943,206010000.0,39.133333333333,-84.5
Anchorage,298695,5098650594.0,61.218333333333,-149.89916666667
Henderson,257729,279000000.0,36.0292,-115.0253
Greensboro,279639,339806440.0,36.08,-79.819444444444
Plano,269776,185000000.0,33.05,-96.75
Newark,281944,67617000.0,40.735277777778,-74.185
Lincoln,277348,240000000.0,40.810555555556,-96.680277777778
Toledo,287208,217870000.0,41.666666666667,-83.583333333333
Orlando,238300,286711683.0,28.533611111111,-81.386666666667
Chula Vista,243916,134925000.0,32.627777777778,-117.04805555556
Irvine,250384,172115069.0,33.684166666667,-117.7925
Fort Wayne,253691,287050000.0,41.08045,-85.13915
Jersey City,247597,54596949.0,40.711388888889,-74.064722222222
Durham,228330,280400000.0,35.9875,-78.907222
St. Petersburg,253693,356400000.0,27.773055555556,-82.64
Laredo,244731,233000000.0,27.506111111111,-99.507222222222
Buffalo,258959,136000000.0,42.904722222222,-78.849444444444
Madison,236901,243540000.0,43.074722222222,-89.384444444444
Lubbock,243839,320000000.0,33.566666666667,-101.88333333333
Chandler,236123,150219310.0,33.303333333333,-111.84138888889
Scottsdale,217385,477700000.0,33.493055555556,-111.92611111111
Glendale,226721,144521336.0,33.583333333333,-112.2
Reno,225221,274200000.0,39.527222222222,-119.82194444444
Norfolk,246393,248638858.0,36.854627777778,-76.274394444444
North Las Vegas,216961,262600000.0,36.228611111111,-115.14666666667
Irving,216290,175342195.0,32.811666666667,-96.950833333333
Chesapeake,235429,909085826.0,36.767398,-76.287405
Gilbert,208453,196839096.0,33.35,-111.78916666667
Hialeah,224669,,25.860555555556,-80.293888888889
Garland,226876,147900000.0,32.906944,-96.635
Fremont,220000,226900000.0,37.543055555556,-121.98277777778
Baton Rouge,229493,204893959.0,30.416666666667,-91.1
Richmond,220289,161874256.0,37.533333333333,-77.466666666667
Boise,205671,207328548.0,43.613611111111,-116.23777777778
San Bernardino,209924,154480000.0,34.129444444444,-117.29305555556
Spokane,208916,155451086.0,47.658888888889,-117.5
Des Moines,203433,213933017.0,41.590833333333,-93.620833333333
Modesto,201165,96069000.0,37.661388888889,-120.99444444444
Birmingham,212237,384898133.0,33.524755,-86.81274
Tacoma,198397,161460000.0,47.241388888889,-122.45944444444
Fontana,203003,109899000.0,34.1,-117.46666666667
Rochester,210565,96100000.0,43.165555555556,-77.611388888889
Oxnard,205437,101548253.0,34.191388888889,-119.1825
Moreno Valley,193365,133319637.0,33.943055555556,-117.22833333333
Fayetteville,204408,382600000.0,35.066666666667,-78.9175
Aurora,197899,,41.76,-88.298611111111
Glendale,191719,79212000.0,34.170833333333,-118.25
Yonkers,195976,52600000.0,40.941388888889,-73.864444444444
Huntington Beach,189992,82576000.0,33.692777777778,-117.99972222222
Montgomery,205764,404530242.0,32.361666666667,-86.279166666667
Amarillo,190695,233900000.0,35.199166666667,-101.84527777778
Little Rock,193524,302510611.0,34.736111111111,-92.331111111111
Akron,199110,161540000.0,41.073055555556,-81.517777777778
Columbus,200887,572000000.0,32.492222222222,-84.940277777778
Augusta,196741,793831355.0,33.47,-81.975
Grand Rapids,112571,117250000.0,42.96125,-85.655719444444
Shreveport,199311,312900000.0,32.5082078,-93.7629569
Salt Lake City,186440,285934687.0,40.75,-111.88333333333
Huntsville,180105,556847443.0,34.713611111111,-86.586111111111
Mobile,195111,412844104.0,30.727669444444,-88.052672222222
Tallahassee,181376,268063769.0,30.438736111111,-84.280633333333
Grand Prairie,175396,210024725.0,32.715278,-97.016944
Overland Park,173372,195803101.0,38.940072222222,-94.680697222222
Knoxville,178874,269800000.0,35.966666666667,-83.95
Port St. Lucie,164603,303028608.0,27.275833333333,-80.355
Worcester,183016,99973541.0,42.266666666667,-71.8
Brownsville,183046,378900000.0,25.930277777778,-97.484444444444
Tempe,161719,104117522.0,33.429444444444,-111.94305555556
Santa Clarita,219611,160993660.0,34.416389,-118.506389
Newport News,182385,310798573.0,37.070833333333,-76.484444444444
Cape Coral,154305,310798573.0,26.633333,-81.983333
Providence,178042,66044696.0,41.830833333333,-71.415
Fort Lauderdale,172389,99000000.0,26.135833333333,-80.141944444444
Chattanooga,173366,370886297.0,35.045555555556,-85.267222222222
Rancho Cucamonga,165269,103265415.0,34.123333333333,-117.57944444444
Oceanside,167086,109231000.0,33.211666666667,-117.32583333333
Santa Rosa,167815,107481916.0,38.448611111111,-122.70472222222
Garden Grove,170883,46513596.0,33.778889,-117.960278
Vancouver,161791,129140000.0,45.633611111111,-122.60277777778
Sioux Falls,164676,190290000.0,43.536388888889,-96.731666666667
Ontario,163924,129515000.0,34.052777777778,-117.62777777778
McKinney,155142,162900000.0,33.2,-96.633333333333
Elk Grove,153015,109398507.0,38.438333333333,-121.38194444444
Jackson,173514,276700000.0,32.298888888889,-90.184722222222
Pembroke Pines,154750,,26.0125,-80.313611111111
Salem,154637,125484923.0,44.930833333333,-123.02888888889
Springfield,159498,213181921.0,37.195,-93.286111111111
Corona,160000,100829000.0,33.866666666667,-117.56666666667
Eugene,163460,111369488.3,44.051944444444,-123.08555555556
Fort Collins,143986,144599036.0,40.566666666667,-105.08333333333
Peoria,154065,461017883.0,33.5825,-112.23861111111
Frisco,116989,161600000.0,33.1414,-96.8131
Cary,151088,143600000.0,35.778888888889,-78.800277777778
Lancaster,156633,244876000.0,34.686944444444,-118.15416666667
Hayward,149392,165108000.0,37.668888888889,-122.08083333333
Palmdale,152750,275099000.0,34.581111111111,-118.10055555556
Salinas,150441,60131800.0,36.677777777778,-121.65555555556
Alexandria,153511,40100000.0,38.804722222222,-77.047222222222
Lakewood,142980,114114876.0,39.706389,-105.102778
Springfield,153060,86000000.0,42.112411,-72.547455
Pasadena,149043,115300000.0,29.676111111111,-95.173888888889
Sunnyvale,140081,58000000.0,37.368888888889,-122.03694444444
Macon,153691,661000000.0,32.83583,-83.64639
Pomona,149058,59476486.0,34.060833333333,-117.75583333333
Hollywood,146526,79800000.0,26.021388888889,-80.175
Kansas City,145786,332502673.0,39.106666666667,-94.676388888889
Escondido,143911,95801070.0,33.124722,-117.080833
Clarksville,132929,247400000.0,36.5297222,-87.3594444
Joliet,147459,,41.5225,-88.140555555556
Rockford,152871,147000000.0,42.269722222222,-89.069722222222
Torrance,145438,53233000.0,33.8358492,-118.3406288
Naperville,141853,,41.748055555556,-88.165555555556
"Paterson, New Jersey",146199,,40.915555555556,-74.163055555556
Savannah,142772,281500000.0,32.050833333333,-81.103888888889
Bridgeport,144229,50245769.0,41.183333333333,-73.2
Mesquite,143484,119600000.0,32.78278,-96.60972
Killeen,138154,140500000.0,31.105555555556,-97.726666666667
Syracuse,144669,68893700.0,43.046899,-76.144423
McAllen,140717,119916449.0,26.216388888889,-98.236388888889
Pasadena,137122,59902000000.0,34.156111111111,-118.13194444444
Bellevue,122363,94460000.0,47.5975,-122.15916666667
Fullerton,135161,57921000.0,33.88,-117.92861111111
Orange,136416,65371299.0,33.803055555556,-117.8325
Dayton,141527,146334328.0,39.766666666667,-84.2
Miramar,128729,,25.978888888889,-80.2825
Thornton,118772,92980573.0,39.9031,-104.954
West Valley City,132434,91944577.0,40.689166666667,-111.99388888889
Olathe,125872,156490000.0,38.8808,-94.8031
Hampton,136454,352238383.0,37.034946,-76.360126
Warren,134056,89250990.0,42.491944444444,-83.023888888889
Midland,123933,185200000.0,32.005,-102.09917
Waco,124805,247400000.0,31.551388888889,-97.155833333333
Charleston,120083,330200000.0,32.776111111111,-79.9325
