"Date","Time","Global_active_power","Global_reactive_power","Voltage","Global_intensity","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"2/12/2009","01:09:00",1.0812,0,240.49,3,0,0,1
"2/12/2009","01:10:00",0.818897359776596,0,240.88,3,0,0,0
"2/12/2009","01:11:00",0.534,0,241.27,2.4,0,0,1
"2/12/2009","01:12:00",1.64412563106033,0,242.07,1,0,0,1
"2/12/2009","01:13:00",1.7618564331695,0,242.47,1,0,0,0
"2/12/2009","01:14:00",1.0297,0,242.62,1,0,0,1
"2/12/2009","01:15:00",1.01525,0,242.37,1,0,0,1
"2/12/2009","01:16:00",0.774522049135152,0.054,242.24,1.6,0,0,0
"2/12/2009","01:17:00",1.56024649328367,0.224,242.34,1.8,0,0,1
"2/12/2009","01:18:00",0.416,0.224,242.15,1.8,0,0,1
"2/12/2009","01:19:00",0.414,0.222,241.83,1.8,0,0,0
"2/12/2009","01:20:00",0.9585,0.224,242.07,1.8,0,0,1
"2/12/2009","01:21:00",0.406,0.222,241.54,1.8,0,0,1
"2/12/2009","01:22:00",0.402,0.22,241.08,1.8,0,0,0
"2/12/2009","01:23:00",0.335442979876885,0.218,240.67,1.8,0,0,1
"2/12/2009","01:24:00",1.45697437064892,0.218,240.93,1.8,0,0,1
"2/12/2009","01:25:00",0.396,0.218,240.78,1.8,0,0,0
"2/12/2009","01:26:00",2.87939194967179,0.218,240.53,1.8,0,0,1
"2/12/2009","01:27:00",1.09564196974624,0.218,240.65,1.8,0,0,1
"2/12/2009","01:28:00",0.384,0.206,241.24,1.8,0,0,0
"2/12/2009","01:29:00",0.84485,0.116,241.22,1.4,0,0,1
"2/12/2009","01:30:00",0.684218082661023,0.118,241.77,1.4,0,0,1
"2/12/2009","01:31:00",-0.62248449330965,0,242.77,1,0,0,0
"2/12/2009","01:32:00",0.232,0,242.18,1,0,0,1
"2/12/2009","01:33:00",1.32037761244165,0,241.79,1,0,0,0
"2/12/2009","01:34:00",0.77245,0,241.58,1,0,0,1
"2/12/2009","01:35:00",-0.16232979176218,0,241.47,1,0,0,1
"2/12/2009","01:36:00",-0.783365150093203,0,241.79,1,0,0,0
"2/12/2009","01:37:00",1.98625030718613,0,241.65,1,0,0,1
"2/12/2009","01:38:00",0.7151,0,241.65,1,0,0,1
"2/12/2009","01:39:00",0.232,0,242.15,1,0,0,0
"2/12/2009","01:40:00",2.18689322425637,0,242.5,1,0,0,1
"2/12/2009","01:41:00",0.67225,0,242.51,1,0,0,1
"2/12/2009","01:42:00",0.23,0,241.72,1,0,0,0
"2/12/2009","01:43:00",0.6437,0,241.63,1,0,0,1
"2/12/2009","01:44:00",1.84526160062758,0,241.81,1,0,0,1
"2/12/2009","01:45:00",0.232,0,242.85,1,0,0,0
"2/12/2009","01:46:00",3.32425627042784,0,243.72,1,0,0,1
"2/12/2009","01:47:00",0.234,0,243.89,1,0,0,1
"2/12/2009","01:48:00",0.234,0,243.21,1,0,0,0
"2/12/2009","01:49:00",1.60484431917338,0,243.55,1,0,0,1
"2/12/2009","01:50:00",0.236,0,244.35,1,0,0,1
"2/12/2009","01:51:00",0.5408,0,244.05,1,0,0,0
"2/12/2009","01:52:00",2.47938847076791,0,242.86,1,0,0,1
"2/12/2009","01:53:00",0.5408,0,242.7,1,0,0,1
"2/12/2009","01:54:00",1.6463595769126,0,243.14,3.2,0,0,6
"2/12/2009","01:55:00",1.366,0,242.35,5.6,0,0,19
"2/12/2009","01:56:00",3.31116668815122,0.05,242.33,5.8,0,0,20
"2/12/2009","01:57:00",1.444,0.108,242.32,5.8,0,0,19
"2/12/2009","01:58:00",3.3507619888519,0.108,242.33,5.8,0,0,18
"2/12/2009","01:59:00",0.68305,0.112,243.17,5.8,0,0,19
"2/12/2009","02:00:00",0.7085,0.11,242.88,5.8,0,0,19
"2/12/2009","02:01:00",1.42,0.11,242.44,5.8,0,0,19
"2/12/2009","02:02:00",1.43,0.112,243.55,5.8,0,0,19
"2/12/2009","02:03:00",0.78535,0.114,243.87,5.8,0,0,19
"2/12/2009","02:04:00",3.29475673272114,0.114,243.92,5.8,0,0,18
"2/12/2009","02:05:00",0.8369,0.114,243.72,5.8,0,0,19
"2/12/2009","02:06:00",2.81690453390355,0.114,243.53,5.8,0,0,19
"2/12/2009","02:07:00",2.20255093437624,0.114,243.6,5.8,0,0,19
"2/12/2009","02:08:00",1.426,0.114,243.91,5.8,0,0,19
"2/12/2009","02:09:00",1.454,0.128,244.29,6,0,0,19
"2/12/2009","02:10:00",2.2204989239382,0.186,244.82,6,0,0,19
"2/12/2009","02:11:00",1.41,0.084,244.15,5.8,0,0,19
"2/12/2009","02:12:00",1.02965,0.082,243.89,5.8,0,0,19
"2/12/2009","02:13:00",2.91051716951171,0.08,243.28,5.6,0,0,19
"2/12/2009","02:14:00",1.08815,0.08,243.08,5.6,0,0,18
"2/12/2009","02:15:00",1.39,0.078,242.38,5.6,0,0,19
"2/12/2009","02:16:00",1.394,0.08,242.9,5.6,0,0,19
"2/12/2009","02:17:00",1.90728454062827,0.08,242.92,5.6,0,0,18
"2/12/2009","02:18:00",1.39,0.078,242.79,5.6,0,0,19
"2/12/2009","02:19:00",1.16383314548876,0.078,242.52,5.6,0,0,19
"2/12/2009","02:20:00",1.2622,0.094,242.45,5.6,0,0,18
"2/12/2009","02:21:00",2.03204261768048,0.068,242.55,5.6,0,0,19
"2/12/2009","02:22:00",2.71599138545466,0,243.66,5.6,0,0,19
"2/12/2009","02:23:00",1.34825,0,243.76,5.6,0,0,19
"2/12/2009","02:24:00",1.376,0,243.94,5.6,0,0,19
"2/12/2009","02:25:00",3.07985170125337,0,244.08,5.6,0,0,19
"2/12/2009","02:26:00",1.334,0,244.05,5.4,0,0,18
"2/12/2009","02:27:00",1.46045,0,243.97,5.4,0,0,19
"2/12/2009","02:28:00",1.332,0,243.92,5.4,0,0,19
"2/12/2009","02:29:00",1.90766859326814,0,243.21,5.4,0,0,19
"2/12/2009","02:30:00",1.53595,0,243.17,4.8,0,0,15
"2/12/2009","02:31:00",1.53595,0,244.48,1,0,0,1
"2/12/2009","02:32:00",0.236,0,244.15,1,0,0,1
"2/12/2009","02:33:00",1.5361,0,243.73,1,0,0,0
"2/12/2009","02:34:00",0.503700717434898,0,243.53,1,0,0,1
"2/12/2009","02:35:00",-0.242267914703548,0,243.76,1,0,0,1
"2/12/2009","02:36:00",1.4713,0.104,243.3,1.4,0,0,0
"2/12/2009","02:37:00",1.4438,0.124,243.47,1.4,0,0,1
"2/12/2009","02:38:00",0.342,0.126,244.2,1.4,0,0,1
"2/12/2009","02:39:00",0.342,0.128,244.82,1.4,0,0,0
"2/12/2009","02:40:00",1.36205,0.13,245.49,1.4,0,0,1
"2/12/2009","02:41:00",0.338,0.128,244.95,1.4,0,0,1
"2/12/2009","02:42:00",2.66161747656672,0.13,245.38,1.4,0,0,0
"2/12/2009","02:43:00",1.2803,0.13,245.34,1.4,0,0,1
"2/12/2009","02:44:00",1.46696948765264,0.13,245.47,1.4,0,0,1
"2/12/2009","02:45:00",1.22565,0.13,245.11,1.4,0,0,0
"2/12/2009","02:46:00",1.19835,0.128,244.74,1.4,0,0,1
"2/12/2009","02:47:00",2.01147204626176,0.126,244.46,1.4,0,0,1
"2/12/2009","02:48:00",1.1437,0.128,244.65,1.4,0,0,0
"2/12/2009","02:49:00",1.11565,0.128,244.76,1.4,0,0,1
"2/12/2009","02:50:00",1.52973143639195,0.046,245.35,1.2,0,0,1
"2/12/2009","02:51:00",0.238,0,245,1,0,0,0
"2/12/2009","02:52:00",0.807285512291151,0,244.48,1,0,0,1
"2/12/2009","02:53:00",0.236,0,243.93,1,0,0,1
"2/12/2009","02:54:00",0.9686,0,244.19,1,0,0,0
"2/12/2009","02:55:00",0.236,0,244.77,1,0,0,1
"2/12/2009","02:56:00",2.83584316195062,0,245.25,1,0,0,1
"2/12/2009","02:57:00",3.02210829108998,0,245.59,1,0,0,0
"2/12/2009","02:58:00",0.8532,0,245.31,1,0,0,1
"2/12/2009","02:59:00",0.238,0,245.42,1,0,0,1
"2/12/2009","03:00:00",2.79922500587067,0,245.36,1,0,0,0
"2/12/2009","03:01:00",0.238,0,245.97,1,0,0,1
"2/12/2009","03:02:00",1.98108694453565,0,245.95,1.6,0,0,2
"2/12/2009","03:03:00",0.864,0.262,245.4,3.6,0,0,10
"2/12/2009","03:04:00",0.71565,0.306,245.25,3.8,0,0,10
"2/12/2009","03:05:00",0.926,0.294,244.16,4,0,0,11
"2/12/2009","03:06:00",2.23623328672006,0.326,242.84,4.2,0,0,11
"2/12/2009","03:07:00",2.17965732286764,0.4,242.35,4.4,0,1,11
"2/12/2009","03:08:00",0.66565,0.234,243.14,2.2,0,1,2
"2/12/2009","03:09:00",1.88780270811637,0.22,243.87,1.8,0,2,1
"2/12/2009","03:10:00",0.392,0.222,244.39,1.8,0,1,1
"2/12/2009","03:11:00",0.392,0.22,243.8,1.8,0,1,0
"2/12/2009","03:12:00",0.6332,0.22,243.91,1.8,0,2,1
"2/12/2009","03:13:00",0.6371,0.218,243.55,1.8,0,1,1
"2/12/2009","03:14:00",0.64075,0.204,243.99,1.8,0,2,0
"2/12/2009","03:15:00",0.32,0.112,243.56,1.4,0,1,1
"2/12/2009","03:16:00",0.64505,0.232,243.81,2,0,2,1
"2/12/2009","03:17:00",0.6472,0.254,244.41,2,0,1,0
"2/12/2009","03:18:00",0.426,0.254,244.28,2,0,1,1
"2/12/2009","03:19:00",0.65135,0.254,244.33,2,0,2,1
"2/12/2009","03:20:00",0.65335,0.256,244.96,2,0,1,0
"2/12/2009","03:21:00",0.65545,0.26,245.42,2,0,2,1
"2/12/2009","03:22:00",1.74147725034125,0.262,245.95,2,0,1,1
"2/12/2009","03:23:00",0.418,0.262,245.89,2,0,1,1
"2/12/2009","03:24:00",0.92699491556403,0.254,244.52,2,0,2,0
"2/12/2009","03:25:00",0.41,0.25,243.76,1.8,0,1,1
"2/12/2009","03:26:00",0.406,0.248,243.17,1.8,0,1,1
"2/12/2009","03:27:00",0.408,0.25,243.94,1.8,0,1,0
"2/12/2009","03:28:00",0.406,0.248,243.49,1.8,0,2,1
"2/12/2009","03:29:00",1.51545562598622,0.248,243.25,1.8,0,1,0
"2/12/2009","03:30:00",0.912105174413739,0.172,243.08,1.6,0,1,1
"2/12/2009","03:31:00",0.6744,0.11,243.21,1.2,0,1,1
"2/12/2009","03:32:00",0.31,0.112,243.79,1.2,0,2,0
"2/12/2009","03:33:00",0.296,0.09,244.19,1.2,0,1,1
"2/12/2009","03:34:00",0.236,0,244.72,1,0,0,1
"2/12/2009","03:35:00",0.258787464155014,0,244.95,1,0,0,1
"2/12/2009","03:36:00",0.236,0,244.6,1,0,0,0
"2/12/2009","03:37:00",0.6777,0,244.05,1,0,0,1
"2/12/2009","03:38:00",0.6777,0,245.5,1,0,0,1
"2/12/2009","03:39:00",0.238,0,245.6,1,0,0,0
"2/12/2009","03:40:00",0.6777,0,245.87,1,0,0,1
"2/12/2009","03:41:00",0.623727722264164,0,245.47,1,0,0,1
"2/12/2009","03:42:00",2.43636470831079,0,246.11,1,0,0,0
"2/12/2009","03:43:00",0.238,0,245.77,1,0,0,1
"2/12/2009","03:44:00",0.236,0,244.74,1,0,0,1
"2/12/2009","03:45:00",1.54971283350231,0,244.24,1,0,0,0
"2/12/2009","03:46:00",3.36682222666821,0,244.64,1,0,0,1
"2/12/2009","03:47:00",0.236,0,244.5,1,0,0,1
"2/12/2009","03:48:00",-0.859124547636271,0,244.99,1,0,0,0
"2/12/2009","03:49:00",3.26293784019636,0,245.1,1,0,0,1
"2/12/2009","03:50:00",0.3580386985862,0,245.05,1,0,0,1
"2/12/2009","03:51:00",1.77949051158188,0,244.86,1,0,0,0
"2/12/2009","03:52:00",0.56745,0,245.32,1,0,0,1
"2/12/2009","03:53:00",0.24,0,246.27,1,0,0,1
"2/12/2009","03:54:00",0.238,0,245.76,1,0,0,0
"2/12/2009","03:55:00",0.862527605837376,0,245.22,1,0,0,1
"2/12/2009","03:56:00",0.5568,0.13,244.69,1.8,0,0,1
"2/12/2009","03:57:00",0.598642114146748,0.232,244.25,2,0,0,0
"2/12/2009","03:58:00",0.5564,0.232,244.23,1.8,0,0,1
"2/12/2009","03:59:00",1.77538771380602,0.232,244.24,1.8,0,0,1
"2/12/2009","04:00:00",0.414,0.232,244.31,1.8,0,0,0
"2/12/2009","04:01:00",0.55585,0.234,244.64,1.8,0,0,1
"2/12/2009","04:02:00",3.28588267969981,0.238,245.45,1.8,0,0,1
"2/12/2009","04:03:00",0.412,0.24,245.51,1.8,0,0,0
"2/12/2009","04:04:00",1.93831428189528,0.24,245.74,1.8,0,0,1
"2/12/2009","04:05:00",1.1005155885414,0.244,246.32,1.8,0,0,1
"2/12/2009","04:06:00",0.55555,0.244,246.27,1.8,0,0,0
"2/12/2009","04:07:00",1.45248059411409,0.24,245.72,1.8,0,0,1
"2/12/2009","04:08:00",0.5543,0.166,245.9,1.6,0,0,1
"2/12/2009","04:09:00",0.446678198039449,0.13,245.39,1.4,0,0,0
"2/12/2009","04:10:00",1.40395454226036,0,245.88,1,0,0,1
"2/12/2009","04:11:00",0.54805,0,246.26,1,0,0,1
"2/12/2009","04:12:00",0.24,0,246.37,1,0,0,0
"2/12/2009","04:13:00",0.24,0,246.61,1,0,0,1
"2/12/2009","04:14:00",0.545,0,245.78,1,0,0,1
"2/12/2009","04:15:00",0.893546343223756,0,244.6,1,0,0,0
"2/12/2009","04:16:00",0.238,0,244.64,1,0,0,1
"2/12/2009","04:17:00",0.238,0,244.65,1,0,0,1
"2/12/2009","04:18:00",0.839597946523868,0,244.07,1,0,0,0
"2/12/2009","04:19:00",0.54505,0,244.63,1,0,0,1
"2/12/2009","04:20:00",0.54505,0,245.14,1,0,0,1
"2/12/2009","04:21:00",-0.58688966095709,0,244.73,1,0,0,0
"2/12/2009","04:22:00",-0.39714377525362,0,244.47,1,0,0,1
"2/12/2009","04:23:00",0.308822406728231,0,245.39,1,0,0,1
"2/12/2009","04:24:00",2.18471340780384,0,245.39,1,0,0,0
"2/12/2009","04:25:00",0.238,0,245.11,1,0,0,1
"2/12/2009","04:26:00",1.24027164275397,0,245.12,1,0,0,1
"2/12/2009","04:27:00",0.5453,0,245.67,1,0,0,0
"2/12/2009","04:28:00",0.5453,0,244.95,1,0,0,1
"2/12/2009","04:29:00",0.5453,0,244.74,1,0,0,1
"2/12/2009","04:30:00",3.16367305337825,0,245.45,1,0,0,1
"2/12/2009","04:31:00",2.44787162248548,0,245.21,1,0,0,0
"2/12/2009","04:32:00",0.236,0,244.38,1,0,0,1
"2/12/2009","04:33:00",1.44360958592319,0,244.53,1,0,0,1
"2/12/2009","04:34:00",0.236,0,244.71,1,0,0,0
"2/12/2009","04:35:00",0.723099342040724,0,244.63,1.2,0,0,1
"2/12/2009","04:36:00",0.35,0.13,245.08,1.4,0,0,1
"2/12/2009","04:37:00",0.5437,0.128,244.84,1.4,0,0,0
"2/12/2009","04:38:00",0.54185,0.128,244.98,1.4,0,0,1
"2/12/2009","04:39:00",0.54,0.132,245.85,1.4,0,0,1
"2/12/2009","04:40:00",0.342,0.134,246.14,1.4,0,0,0
"2/12/2009","04:41:00",0.338,0.13,245.26,1.4,0,0,1
"2/12/2009","04:42:00",0.5344,0.132,245.86,1.4,0,0,1
"2/12/2009","04:43:00",2.51524802775724,0.134,246.14,1.4,0,0,0
"2/12/2009","04:44:00",0.53075,0.132,245.92,1.4,0,0,1
"2/12/2009","04:45:00",0.5289,0.132,245.94,1.4,0,0,1
"2/12/2009","04:46:00",1.79939920223791,0.132,245.73,1.4,0,0,0
"2/12/2009","04:47:00",0.5252,0.128,244.81,1.4,0,0,1
"2/12/2009","04:48:00",0.402533960646254,0.126,243.99,1.4,0,0,1
"2/12/2009","04:49:00",0.936266307925441,0.064,243.43,1.2,0,0,0
"2/12/2009","04:50:00",0.52325,0,243.92,1,0,0,1
"2/12/2009","04:51:00",0.52395,0,244.94,1.2,0,0,1
"2/12/2009","04:52:00",0.314,0.094,244.41,1.2,0,0,0
"2/12/2009","04:53:00",0.52765,0.094,244.07,1.2,0,0,1
"2/12/2009","04:54:00",0.333695129936077,0.092,243.48,1.2,0,0,1
"2/12/2009","04:55:00",0.5313,0.092,243.71,1.2,0,0,0
"2/12/2009","04:56:00",0.312,0.094,244.24,1.2,0,0,1
"2/12/2009","04:57:00",0.952661540484873,0.096,244.95,1.2,0,0,1
"2/12/2009","04:58:00",0.31,0.098,245.04,1.2,0,0,0
"2/12/2009","04:59:00",0.31,0.096,245,1.2,0,0,1
"2/12/2009","05:00:00",1.26103639902204,0.096,244.43,1.2,0,0,1
"2/12/2009","05:01:00",0.54205,0.094,244.42,1.2,0,0,0
"2/12/2009","05:02:00",0.29,0.072,244.66,1.2,0,0,1
"2/12/2009","05:03:00",0.277617543505872,0,244.05,1,0,0,1
"2/12/2009","05:04:00",0.54325,0,244.37,1,0,0,0
"2/12/2009","05:05:00",0.54315,0,243.4,1,0,0,1
"2/12/2009","05:06:00",0.234,0,243.6,1,0,0,1
"2/12/2009","05:07:00",1.31493685384017,0,243.67,1,0,0,0
"2/12/2009","05:08:00",0.5429,0,244.01,1,0,0,1
"2/12/2009","05:09:00",0.54285,0,244.33,1,0,0,1
"2/12/2009","05:10:00",2.59097812146746,0,244.66,1,0,0,0
"2/12/2009","05:11:00",0.238,0,245.28,1,0,0,1
"2/12/2009","05:12:00",2.71746185077034,0,246.04,1,0,0,1
"2/12/2009","05:13:00",0.54295,0,246.01,1,0,0,0
"2/12/2009","05:14:00",1.21211491180853,0,245.47,1,0,0,1
"2/12/2009","05:15:00",0.334,0.096,246.22,1.4,0,0,1
"2/12/2009","05:16:00",0.848515639762842,0.132,245.98,1.4,0,0,0
"2/12/2009","05:17:00",0.344,0.13,245.43,1.4,0,0,1
"2/12/2009","05:18:00",0.111192070815526,0.13,245.14,1.4,0,0,1
"2/12/2009","05:19:00",0.54415,0.13,245.12,1.4,0,0,0
"2/12/2009","05:20:00",0.34,0.132,245.73,1.4,0,0,1
"2/12/2009","05:21:00",0.338,0.13,245.19,1.4,0,0,1
"2/12/2009","05:22:00",0.54405,0.128,244.63,1.4,0,0,0
"2/12/2009","05:23:00",0.336,0.13,244.84,1.4,0,0,1
"2/12/2009","05:24:00",1.19876729953966,0.128,244.59,1.4,0,0,1
"2/12/2009","05:25:00",1.18530194278839,0.126,243.74,1.4,0,0,0
"2/12/2009","05:26:00",0.5437,0.124,243.52,1.4,0,0,1
"2/12/2009","05:27:00",0.814421488329165,0.126,244.02,1.4,0,0,1
"2/12/2009","05:28:00",0.5437,0.128,244.59,1.4,0,0,0
"2/12/2009","05:29:00",0.14183060232702,0,244.62,1,0,0,1
"2/12/2009","05:30:00",0.238,0,245.69,1,0,0,1
"2/12/2009","05:31:00",1.06195568565729,0.052,245.91,1.4,0,0,0
"2/12/2009","05:32:00",0.00925878758686477,0.118,245.37,1.4,0,1,1
"2/12/2009","05:33:00",0.322,0.118,245.47,1.4,0,1,1
"2/12/2009","05:34:00",0.337436581861047,0.118,245.35,1.4,0,1,0
"2/12/2009","05:35:00",0.322,0.116,244.91,1.4,0,2,1
"2/12/2009","05:36:00",0.5445,0.116,244.76,1.4,0,1,1
"2/12/2009","05:37:00",2.83068754088971,0.114,244.4,1.4,0,2,0
"2/12/2009","05:38:00",0.54505,0.114,244.36,1.4,0,1,1
"2/12/2009","05:39:00",0.32,0.112,243.65,1.4,0,2,1
"2/12/2009","05:40:00",0.5457,0.112,244.06,1.4,0,1,0
"2/12/2009","05:41:00",1.77239722533671,0.112,243.86,1.4,0,1,1
"2/12/2009","05:42:00",0.841333575124695,0.114,244.23,1.4,0,2,1
"2/12/2009","05:43:00",-1.748304479954,0.112,243.76,1.4,0,1,0
"2/12/2009","05:44:00",1.93294572443655,0.112,243.68,1.4,0,2,1
"2/12/2009","05:45:00",0.585935164180561,0.128,244.86,1.6,0,1,1
"2/12/2009","05:46:00",0.5579,0.226,245.58,1.8,0,1,0
"2/12/2009","05:47:00",0.5619,0.226,245.82,1.8,0,2,1
"2/12/2009","05:48:00",0.5659,0.226,245.89,1.8,0,1,1
"2/12/2009","05:49:00",0.266675712311172,0.228,246.34,1.8,0,1,0
"2/12/2009","05:50:00",0.394,0.23,246.61,1.8,0,2,1
"2/12/2009","05:51:00",0.392,0.228,245.9,1.8,0,1,1
"2/12/2009","05:52:00",1.03356357077896,0.224,244.94,1.8,0,1,1
"2/12/2009","05:53:00",0.394,0.228,246.02,1.8,0,1,0
"2/12/2009","05:54:00",1.97811393601012,0.228,245.92,1.8,0,2,1
"2/12/2009","05:55:00",0.5934,0.348,244.87,2.4,0,1,1
"2/12/2009","05:56:00",3.058076765924,0.3,244.83,2.2,0,1,0
"2/12/2009","05:57:00",0.59805,0.256,244.97,2,0,1,1
"2/12/2009","05:58:00",0.368,0.162,244.14,1.6,0,1,1
"2/12/2009","05:59:00",2.12434806094565,0.128,244.27,1.4,0,0,0
"2/12/2009","06:00:00",0.344,0.13,244.87,1.4,0,0,1
"2/12/2009","06:01:00",2.03271952905424,0.128,244.25,1.4,0,0,1
"2/12/2009","06:02:00",0.34,0.126,244.11,1.4,0,0,0
"2/12/2009","06:03:00",0.59915,0.128,244.47,1.4,0,0,1
"2/12/2009","06:04:00",0.466946567193107,0.128,244.35,1.4,0,0,1
"2/12/2009","06:05:00",0.338,0.128,244.24,1.4,0,0,0
"2/12/2009","06:06:00",0.5996,0.128,244.68,1.4,0,0,1
"2/12/2009","06:07:00",0.613349146509743,0.128,244.46,1.4,0,0,1
"2/12/2009","06:08:00",0.32,0.104,245.11,1.4,0,0,0
"2/12/2009","06:09:00",0.5995,0,245.56,1,0,0,1
"2/12/2009","06:10:00",0.5996,0,245.42,1,0,0,1
"2/12/2009","06:11:00",0.857696324311528,0,244.46,1,0,0,0
"2/12/2009","06:12:00",-0.604959471500162,0,244,1,0,0,1
"2/12/2009","06:13:00",0.242,0,244.63,1,0,0,1
"2/12/2009","06:14:00",0.24,0,244.41,1,0,0,0
"2/12/2009","06:15:00",0.5901,0,244.52,1,0,0,1
"2/12/2009","06:16:00",0.24,0,244.29,1,0,0,1
"2/12/2009","06:17:00",0.58595,0,243.11,1,0,0,0
"2/12/2009","06:18:00",2.184924100122,0,242.62,1,0,0,1
"2/12/2009","06:19:00",2.24961195767921,0,244,1,0,0,1
"2/12/2009","06:20:00",0.24,0,244.11,1,0,0,0
"2/12/2009","06:21:00",-1.69052788037897,0,243.78,1,0,0,1
